task,k,condition_a,condition_b,b_match,idlekv,random_k,oldest_k,oracle_k,selection_lift,oracle_lift,pct_idlekv_gt_b_match,pct_idlekv_lt_b_match,select_transfer_inject_ms,condition_a_lo,condition_a_hi,condition_b_lo,condition_b_hi,b_match_lo,b_match_hi,idlekv_lo,idlekv_hi,idlekv_coverage,idlekv_coverage_lo,idlekv_coverage_hi,idlekv_mmr,idlekv_mmr_lo,idlekv_mmr_hi,wrong_q_k,wrong_q_k_lo,wrong_q_k_hi,stale_q_k,stale_q_k_lo,stale_q_k_hi,contrastive_q_k,contrastive_q_k_lo,contrastive_q_k_hi,random_k_lo,random_k_hi,oldest_k_lo,oldest_k_hi,oracle_k_lo,oracle_k_hi
mq_niah_8q_split_1678_to_2345,8,0.96875,0.65625,0.65625,0.65625,0.65625,0.65625,0.6770833333333334,0.0,0.020833,0.041667,0.041667,17.123176,0.9375,1.0,0.6041666666666666,0.6979166666666666,0.6041666666666666,0.6979166666666666,0.6041666666666666,0.71875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6041666666666666,0.7083333333333334,0.6145833333333334,0.7083333333333334,0.6354166666666666,0.71875
mq_niah_8q_split_1678_to_2345,16,0.96875,0.65625,0.65625,0.6666666666666666,0.65625,0.65625,0.875,0.010417,0.21875,0.083333,0.041667,15.631228,0.9270833333333334,1.0,0.6143229166666667,0.6981770833333331,0.6041666666666666,0.6979166666666666,0.6145833333333334,0.7083333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6041666666666666,0.6979166666666666,0.6041666666666666,0.7083333333333334,0.8229166666666666,0.9270833333333334
mq_niah_8q_split_1678_to_2345,24,0.96875,0.65625,0.6666666666666666,0.75,0.65625,0.65625,0.9270833333333334,0.083333,0.260417,0.375,0.041667,21.691861,0.9375,1.0,0.6041666666666666,0.7083333333333334,0.6247395833333333,0.7083333333333334,0.6979166666666666,0.8020833333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6041666666666666,0.6979166666666666,0.6041666666666666,0.6979166666666666,0.8854166666666666,0.96875
mq_niah_8q_split_1678_to_2345,32,0.96875,0.65625,0.6666666666666666,0.8229166666666666,0.65625,0.65625,0.9791666666666666,0.15625,0.3125,0.625,0.0,15.277383,0.9270833333333334,1.0,0.6041666666666666,0.7083333333333334,0.6145833333333334,0.7083333333333334,0.78125,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6041666666666666,0.7083333333333334,0.6041666666666666,0.7083333333333334,0.9479166666666666,1.0
mq_niah_8q_split_1678_to_2345,48,0.96875,0.65625,0.6666666666666666,0.90625,0.65625,0.65625,0.9791666666666666,0.239583,0.3125,0.791667,0.0,15.4464,0.9270833333333334,1.0,0.6041666666666666,0.6979166666666666,0.6145833333333334,0.7083333333333334,0.8541666666666666,0.9479166666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6041666666666666,0.7083333333333334,0.6041666666666666,0.7083333333333334,0.9479166666666666,1.0
mq_niah_8q_split_1678_to_2345,64,0.96875,0.65625,0.6666666666666666,0.9479166666666666,0.65625,0.65625,0.9791666666666666,0.28125,0.3125,0.916667,0.0,15.568554,0.9375,1.0,0.6145833333333334,0.6979166666666666,0.6145833333333334,0.7083333333333334,0.90625,0.9895833333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6143229166666667,0.6979166666666666,0.6041666666666666,0.6979166666666666,0.9479166666666666,1.0
mq_niah_8q_split_1678_to_2345,80,0.96875,0.65625,0.6666666666666666,0.9791666666666666,0.65625,0.65625,0.9791666666666666,0.3125,0.3125,0.958333,0.0,15.499159,0.9375,1.0,0.6041666666666666,0.6979166666666666,0.625,0.7083333333333334,0.9479166666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6041666666666666,0.6979166666666666,0.6041666666666666,0.6979166666666666,0.9479166666666666,1.0
mq_niah_8q_split_1678_to_2345,96,0.96875,0.65625,0.6666666666666666,0.96875,0.6666666666666666,0.65625,0.9791666666666666,0.302083,0.3125,0.958333,0.0,15.554066,0.9375,1.0,0.6041666666666666,0.7083333333333334,0.6145833333333334,0.7083333333333334,0.9372395833333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.7083333333333334,0.6143229166666667,0.7083333333333334,0.9479166666666666,1.0
mq_niah_8q_split_1678_to_2345,128,0.96875,0.65625,0.6770833333333334,0.96875,0.65625,0.65625,0.9791666666666666,0.291667,0.302083,0.916667,0.0,15.757414,0.9375,1.0,0.6145833333333334,0.7083333333333334,0.6247395833333333,0.7291666666666666,0.9375,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6041666666666666,0.7083333333333334,0.6041666666666666,0.6979166666666666,0.9479166666666666,1.0
mq_niah_8q_split_2678_to_1345,8,0.9583333333333334,0.5104166666666666,0.5104166666666666,0.5208333333333334,0.5104166666666666,0.5208333333333334,0.5208333333333334,0.010417,0.010417,0.041667,0.0,17.102632,0.9166666666666666,0.9895833333333334,0.5,0.53125,0.5,0.53125,0.5,0.5520833333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.53125,0.5,0.5520833333333334,0.5,0.5520833333333334
