task,k,condition_b,b_match,idlekv,random_k,oldest_k,oracle_k,selection_lift,oracle_lift,pct_idlekv_gt_b_match,pct_idlekv_lt_b_match,repair_ms
mq_niah_4q_split_14_to_23,8,0.16,0.18,0.495,0.17,0.155,0.515,0.315,0.335,0.62,0.01,20.269528
mq_niah_4q_split_14_to_23,16,0.16,0.175,0.565,0.175,0.145,0.58,0.39,0.405,0.71,0.0,17.447516
mq_niah_4q_split_14_to_23,32,0.16,0.165,0.925,0.18,0.145,1.0,0.76,0.835,0.98,0.0,17.313163
mq_niah_4q_split_14_to_23,48,0.16,0.17,1.0,0.18,0.16,1.0,0.83,0.83,0.99,0.0,17.107109
mq_niah_4q_split_14_to_23,64,0.16,0.175,1.0,0.18,0.15,1.0,0.825,0.825,0.99,0.0,17.055913
mq_niah_4q_split_24_to_13,8,0.12,0.125,0.47,0.125,0.11,0.495,0.345,0.37,0.69,0.0,22.814627
mq_niah_4q_split_24_to_13,16,0.12,0.12,0.5,0.12,0.11,0.495,0.38,0.375,0.76,0.0,17.515884
mq_niah_4q_split_24_to_13,32,0.12,0.12,0.5,0.125,0.105,0.95,0.38,0.83,0.76,0.0,19.109228
mq_niah_4q_split_24_to_13,48,0.12,0.12,0.51,0.115,0.1,1.0,0.39,0.88,0.77,0.0,17.272255
mq_niah_4q_split_24_to_13,64,0.12,0.125,0.54,0.12,0.1,1.0,0.415,0.875,0.78,0.0,17.24361
mq_niah_4q_split_34_to_12,8,0.0,0.0,0.06,0.0,0.0,0.21,0.06,0.21,0.12,0.0,23.568375
mq_niah_4q_split_34_to_12,16,0.0,0.0,0.185,0.0,0.0,0.495,0.185,0.495,0.37,0.0,17.113822
mq_niah_4q_split_34_to_12,32,0.0,0.0,0.395,0.0,0.0,0.83,0.395,0.83,0.79,0.0,16.905032
mq_niah_4q_split_34_to_12,48,0.0,0.0,0.495,0.0,0.0,1.0,0.495,1.0,0.99,0.0,17.699496
mq_niah_4q_split_34_to_12,64,0.0,0.0,0.515,0.0,0.0,1.0,0.515,1.0,1.0,0.0,17.28506
