task,k,condition_a,condition_b,b_match,idlekv,random_k,oldest_k,oracle_k,selection_lift,oracle_lift,pct_idlekv_gt_b_match,pct_idlekv_lt_b_match,select_transfer_inject_ms,condition_a_lo,condition_a_hi,condition_b_lo,condition_b_hi,b_match_lo,b_match_hi,idlekv_lo,idlekv_hi,random_k_lo,random_k_hi,oldest_k_lo,oldest_k_hi,oracle_k_lo,oracle_k_hi
mq_niah_4q_split_14_to_23,8,1.0,0.425,0.415,0.4,0.43,0.415,0.75,-0.015,0.335,0.01,0.04,18.428123,1.0,1.0,0.37,0.485,0.349875,0.48,0.335,0.46,0.365,0.495,0.35487499999999994,0.48,0.7,0.8
mq_niah_4q_split_14_to_23,16,1.0,0.425,0.44,0.42,0.415,0.365,0.97,-0.02,0.53,0.02,0.05,15.41808,1.0,1.0,0.36,0.485,0.374875,0.5001249999999999,0.35,0.485,0.345,0.48,0.299875,0.435,0.945,0.99
mq_niah_4q_split_14_to_23,24,1.0,0.425,0.42,0.565,0.41,0.4,1.0,0.145,0.58,0.25,0.03,17.822139,1.0,1.0,0.364875,0.485,0.35,0.485,0.495,0.64,0.349875,0.475,0.335,0.47,1.0,1.0
mq_niah_4q_split_14_to_23,32,1.0,0.425,0.43,0.685,0.43,0.4,1.0,0.255,0.57,0.42,0.03,15.145866,1.0,1.0,0.365,0.485,0.365,0.5,0.61,0.7501249999999999,0.37,0.495,0.33,0.47,1.0,1.0
mq_niah_4q_split_14_to_23,48,1.0,0.425,0.41,0.915,0.425,0.4,1.0,0.505,0.59,0.83,0.0,15.355741,1.0,1.0,0.36,0.485,0.35,0.475,0.88,0.95,0.36,0.495,0.335,0.465,1.0,1.0
mq_niah_4q_split_14_to_23,64,1.0,0.425,0.425,0.925,0.41,0.395,1.0,0.5,0.575,0.83,0.01,15.486951,1.0,1.0,0.35987499999999994,0.49,0.36,0.49,0.89,0.96,0.345,0.475,0.33,0.455,1.0,1.0
mq_niah_4q_split_14_to_23,80,1.0,0.425,0.41,0.965,0.41,0.38,1.0,0.555,0.59,0.85,0.0,15.36101,1.0,1.0,0.365,0.49,0.34,0.48,0.94,0.985,0.345,0.475,0.315,0.45,1.0,1.0
mq_niah_4q_split_14_to_23,96,1.0,0.425,0.41,0.995,0.445,0.41,1.0,0.585,0.59,0.84,0.0,15.528513,1.0,1.0,0.36,0.49,0.33987500000000004,0.47512499999999985,0.985,1.0,0.38,0.51,0.35,0.47012499999999985,1.0,1.0
mq_niah_4q_split_14_to_23,128,1.0,0.425,0.415,1.0,0.415,0.4,1.0,0.585,0.585,0.83,0.0,15.75868,1.0,1.0,0.36,0.49,0.35487499999999994,0.485,1.0,1.0,0.35,0.48012499999999986,0.335,0.465,1.0,1.0
mq_niah_4q_split_24_to_13,8,1.0,0.285,0.285,0.305,0.285,0.28,0.455,0.02,0.17,0.07,0.03,20.434502,1.0,1.0,0.235,0.33,0.235,0.33,0.254875,0.35012499999999985,0.24,0.33,0.23,0.325,0.425,0.48
