task,k,n,condition_b_overlap,b_match_overlap,idlekv_overlap,random_k_overlap,oldest_k_overlap,oracle_k_overlap
mq_niah_6q_split_156_to_234,8,100,0.57144928,0.57144928,0.58753625,0.57144928,0.57144928,0.58304348
mq_niah_6q_split_156_to_234,16,100,0.57144928,0.57188406,0.61855073,0.57173913,0.57144928,0.58942029
mq_niah_6q_split_156_to_234,24,100,0.57144928,0.5720289900000001,0.65840578,0.57144928,0.57144928,0.8259419
mq_niah_6q_split_156_to_234,32,100,0.57144928,0.5723188499999999,0.68826085,0.57144928,0.57144928,0.8501448100000001
mq_niah_6q_split_156_to_234,48,100,0.57144928,0.57289855,0.7310144,0.5742029,0.57144928,0.8501448100000001
mq_niah_6q_split_156_to_234,64,100,0.57144928,0.57347825,0.78028972,0.57376812,0.57144928,0.8501448100000001
mq_niah_6q_split_156_to_234,80,100,0.57144928,0.57391301,0.81014483,0.57144928,0.57144928,0.8501448100000001
mq_niah_6q_split_156_to_234,96,100,0.57144928,0.57434779,0.83579706,0.57362319,0.57144928,0.8501448100000001
mq_niah_6q_split_156_to_234,128,100,0.57144928,0.5749275,0.85608691,0.57478262,0.57144928,0.8501448100000001
mq_niah_6q_split_256_to_134,8,100,0.59101442,0.59115935,0.5989854299999999,0.59101442,0.59101442,0.6057970300000001
mq_niah_6q_split_256_to_134,16,100,0.59101442,0.59130428,0.6104347,0.59101442,0.59101442,0.64942022
mq_niah_6q_split_256_to_134,24,100,0.59101442,0.59173906,0.62608689,0.59101442,0.59101442,0.83666662
mq_niah_6q_split_256_to_134,32,100,0.59101442,0.5918839899999999,0.64115934,0.59275355,0.59101442,0.84173907
mq_niah_6q_split_256_to_134,48,100,0.59101442,0.59246371,0.67884052,0.5931883299999999,0.59101442,0.84173907
mq_niah_6q_split_256_to_134,64,100,0.59101442,0.59318834,0.7397100799999999,0.59159413,0.59101442,0.84173907
mq_niah_6q_split_256_to_134,80,100,0.59101442,0.59449269,0.8071013499999999,0.59173906,0.59101442,0.84173907
mq_niah_6q_split_256_to_134,96,100,0.59101442,0.59594198,0.8318839800000001,0.5924637,0.59101442,0.84173907
mq_niah_6q_split_256_to_134,128,100,0.59101442,0.5971014,0.86507238,0.59550716,0.59101442,0.84173907
mq_niah_6q_split_356_to_124,8,100,0.4114493,0.41173915,0.41840584,0.41188408000000004,0.4114493,0.42710149999999997
mq_niah_6q_split_356_to_124,16,100,0.4114493,0.41289858,0.43463772,0.4114493,0.4114493,0.49202902000000004
mq_niah_6q_split_356_to_124,24,100,0.4114493,0.41347828999999997,0.45521738,0.41391307,0.4114493,0.66072461
mq_niah_6q_split_356_to_124,32,100,0.4114493,0.41391308000000004,0.48507245,0.41159422,0.4114493,0.6660869300000001
mq_niah_6q_split_356_to_124,48,100,0.4114493,0.41463772,0.52536228,0.41666669,0.4114493,0.94347816
mq_niah_6q_split_356_to_124,64,100,0.4114493,0.41579715,0.60275363,0.4114493,0.4114493,0.94347816
mq_niah_6q_split_356_to_124,80,100,0.4114493,0.4165218,0.69304345,0.41753625,0.4114493,0.94347816
mq_niah_6q_split_356_to_124,96,100,0.4114493,0.41768121999999996,0.77492752,0.41579712,0.4114493,0.94347816
mq_niah_6q_split_356_to_124,128,100,0.4114493,0.41826093,0.83710136,0.41260872,0.4114493,0.94347816
mq_niah_6q_split_456_to_123,8,100,0.37971020000000005,0.37985513,0.38855077,0.37971020000000005,0.37971020000000005,0.41478263
mq_niah_6q_split_456_to_123,16,100,0.37971020000000005,0.38014499,0.41072467,0.37971020000000005,0.37971020000000005,0.50391305
mq_niah_6q_split_456_to_123,24,100,0.37971020000000005,0.38057977,0.42333335,0.38043483,0.37971020000000005,0.62144925
mq_niah_6q_split_456_to_123,32,100,0.37971020000000005,0.38101456,0.43681159999999997,0.37971020000000005,0.37971020000000005,0.6262318600000001
mq_niah_6q_split_456_to_123,48,100,0.37971020000000005,0.3813044,0.48826083,0.38173918,0.37971020000000005,0.89811583
mq_niah_6q_split_456_to_123,64,100,0.37971020000000005,0.38188411,0.56101446,0.38739136,0.37971020000000005,0.89811583
mq_niah_6q_split_456_to_123,80,100,0.37971020000000005,0.38217396000000003,0.6528985199999999,0.38159424999999997,0.37971020000000005,0.89811583
mq_niah_6q_split_456_to_123,96,100,0.37971020000000005,0.38289858000000004,0.7588405500000001,0.38797108,0.37971020000000005,0.89811583
mq_niah_6q_split_456_to_123,128,100,0.37971020000000005,0.38492756,0.84550715,0.38608702,0.37971020000000005,0.89811583
