task,k,n,p50_total_ms,p95_total_ms,p99_total_ms,p50_query_ms,p50_score_ms,p50_select_ms,p50_transfer_ms,p50_inject_ms
mq_niah_6q_split_156_to_234,8,100,6996.427283000001,7192.016809399999,8243.196076950002,79.6305,6898.8845,12.4635,0.4529155,4.2647905
mq_niah_6q_split_156_to_234,16,100,6993.9761005,7189.838847399999,8241.329688760003,79.6305,6898.8845,10.552499999999998,0.5152425,4.2574345000000005
mq_niah_6q_split_156_to_234,24,100,6994.036771,7237.6066646499985,8236.90978588,79.6305,6898.8845,10.217500000000001,0.563852,4.2424185
mq_niah_6q_split_156_to_234,32,100,6993.547947500001,7189.7849069,8235.658417960001,79.6305,6898.8845,10.1465,0.6327985,4.246269
mq_niah_6q_split_156_to_234,48,100,6996.7990445000005,7189.7720547,8235.631611120001,79.6305,6898.8845,10.065,0.814735,4.259607
mq_niah_6q_split_156_to_234,64,100,6993.8458945,7189.836520500001,8235.793864109999,79.6305,6898.8845,10.0355,0.917239,4.2623455
mq_niah_6q_split_156_to_234,80,100,6996.674945,7189.330776950001,8235.183581080002,79.6305,6898.8845,9.99,0.8957575,4.270136
mq_niah_6q_split_156_to_234,96,100,6994.0220850000005,7190.0530095,8236.714175980002,79.6305,6898.8845,9.974499999999999,0.9676495,4.2828005000000005
mq_niah_6q_split_156_to_234,128,100,6996.9201195000005,7233.7654749,8237.015558630002,79.6305,6898.8845,9.9465,1.1767370000000001,4.3072289999999995
mq_niah_6q_split_256_to_134,8,100,6989.7453860000005,7220.0134317,7744.043613890004,79.82,6892.847,12.443,0.450166,4.266012
mq_niah_6q_split_256_to_134,16,100,6987.804441,7218.813452150001,7742.176144210005,79.82,6892.847,10.585,0.508227,4.247275
mq_niah_6q_split_256_to_134,24,100,6987.6806559999995,7218.8458391,7741.915974290005,79.82,6892.847,10.2585,0.5584325,4.233313
mq_niah_6q_split_256_to_134,32,100,6987.727108,7218.7086638,7741.914408950005,79.82,6892.847,10.151500000000002,0.632208,4.239253
mq_niah_6q_split_256_to_134,48,100,6987.5313535000005,7218.132267700001,7741.758829010005,79.82,6892.847,10.053,0.8163260000000001,4.245512
mq_niah_6q_split_256_to_134,64,100,6987.7197705,7218.4191700500005,7742.2601585200055,79.82,6892.847,9.9765,0.919931,4.2563155
mq_niah_6q_split_256_to_134,80,100,6987.675424,7223.054918400001,7742.0516512400045,79.82,6892.847,9.9285,0.9126745,4.261947
mq_niah_6q_split_256_to_134,96,100,6987.631883,7219.10182135,7742.495503750005,79.82,6892.847,9.899,0.9631909999999999,4.279992
mq_niah_6q_split_256_to_134,128,100,6987.871305500001,7220.1098357,7742.478274730004,79.82,6892.847,9.9235,1.1775765,4.2959685
mq_niah_6q_split_356_to_124,8,100,7004.413742500001,7353.049979249999,8520.14904514,79.7885,6903.596,12.488500000000002,0.4483475,4.255141999999999
mq_niah_6q_split_356_to_124,16,100,6998.920458500001,7351.069768549999,8517.45378861,79.7885,6903.596,10.566500000000001,0.5114259999999999,4.2441675
mq_niah_6q_split_356_to_124,24,100,6998.694538,7350.674377299999,8516.145445580001,79.7885,6903.596,10.242999999999999,0.563869,4.2357945
mq_niah_6q_split_356_to_124,32,100,6998.5910485,7350.727011949999,8512.917605080003,79.7885,6903.596,10.1065,0.6262099999999999,4.2332
mq_niah_6q_split_356_to_124,48,100,6998.626915,7350.872731999998,8511.501526490003,79.7885,6903.596,10.052,0.807911,4.237546
mq_niah_6q_split_356_to_124,64,100,7002.318709000001,7350.939366549999,8517.3692459,79.7885,6903.596,9.9905,0.9195535,4.258632
mq_niah_6q_split_356_to_124,80,100,7002.3420255,7351.205540349998,8514.36022256,79.7885,6903.596,9.968,0.914587,4.261346
mq_niah_6q_split_356_to_124,96,100,6998.696887,7351.035474099999,8514.53240807,79.7885,6903.596,9.92,0.9631510000000001,4.281637999999999
mq_niah_6q_split_356_to_124,128,100,6998.854144999999,7350.948366049999,8514.333302140001,79.7885,6903.596,9.8735,1.176438,4.2963875
mq_niah_6q_split_456_to_123,8,100,6986.46847,7232.81562205,8071.350621320003,79.74449999999999,6889.582,12.5805,0.454214,4.2596225
mq_niah_6q_split_456_to_123,16,100,6984.4556335,7230.927420799999,8069.608040280003,79.74449999999999,6889.582,10.515,0.5085355,4.2487005
mq_niah_6q_split_456_to_123,24,100,6984.141197999999,7230.7305329,8069.251058750003,79.74449999999999,6889.582,10.1825,0.561643,4.231616
mq_niah_6q_split_456_to_123,32,100,6983.9490749999995,7300.615397549999,8069.250583100002,79.74449999999999,6889.582,10.092,0.6282245,4.244160000000001
mq_niah_6q_split_456_to_123,48,100,6984.302868,7230.821411999998,8069.392005090002,79.74449999999999,6889.582,10.045,0.8100705,4.242338500000001
mq_niah_6q_split_456_to_123,64,100,6986.9469195,7230.890219149999,8069.372672040002,79.74449999999999,6889.582,9.974,0.9171175,4.2619755
mq_niah_6q_split_456_to_123,80,100,6986.948476,7230.828716149998,8069.133007100002,79.74449999999999,6889.582,9.937999999999999,0.9178325,4.258609
mq_niah_6q_split_456_to_123,96,100,6984.640310999999,7230.9494919,8069.279389330001,79.74449999999999,6889.582,9.928,0.9632995,4.265737
mq_niah_6q_split_456_to_123,128,100,6984.4958885,7333.19199175,8069.985409340002,79.74449999999999,6889.582,9.9025,1.1706275000000002,4.305091
