candidate_tokens,k,query_len,chunk_tokens,candidate_chunks,source_pool_chunks,host_pool_tokens,host_pool_coverage,trials,device,dtype,n_layers,n_query_heads,n_kv_heads,head_dim,key_bytes_per_token,streamed_key_bytes,offloaded_kv_bytes,selected_kv_bytes,pin_memory_requested,pin_memory_effective,p50_scan_ms,p95_scan_ms,p99_scan_ms,p50_topk_ms,p95_topk_ms,p99_topk_ms,p50_total_ms,p95_total_ms,p99_total_ms,mean_total_ms
32768,96,16,16384,2,2,32768,1.0,80,cuda,bfloat16,28,28,4,128,28672,939524096,1879048192,5505024,True,True,24.904120014980435,24.95159440441057,24.9770767102018,0.1274340320378542,0.1661317772231996,0.1754052215255796,25.046390015631918,25.10434710420668,25.11563195148483,25.03786173183471
32768,512,16,16384,2,2,32768,1.0,80,cuda,bfloat16,28,28,4,128,28672,939524096,1879048192,29360128,True,True,24.904120014980435,24.95159440441057,24.9770767102018,0.085502048023045,0.0962746213190257,0.1036205329000949,24.99221242032945,25.04027577815577,25.06027526455,24.99374854087364
32768,1024,16,16384,2,2,32768,1.0,80,cuda,bfloat16,28,28,4,128,28672,939524096,1879048192,58720256,True,True,24.904120014980435,24.95159440441057,24.9770767102018,0.0801830319687724,0.0913363299332559,0.0923655298538505,24.98552401084453,25.03425806062296,25.056294850073755,24.98825613001827
32768,5000,16,16384,2,2,32768,1.0,80,cuda,bfloat16,28,28,4,128,28672,939524096,1879048192,286720000,True,True,24.904120014980435,24.95159440441057,24.9770767102018,0.0795370433479547,0.0963704311288893,0.1014366443268954,24.985431577079,25.043827493209392,25.05498851183802,24.98905812681187
65536,96,16,16384,4,4,65536,1.0,80,cuda,bfloat16,28,28,4,128,28672,1879048192,3758096384,5505024,True,True,49.947034451179206,52.29402520926669,52.36606983700767,0.1403073547407984,0.1713606296107173,0.1922368374653159,50.0989860156551,52.41242058109492,52.4966572993435,50.74465943616815
65536,512,16,16384,4,4,65536,1.0,80,cuda,bfloat16,28,28,4,128,28672,1879048192,3758096384,29360128,True,True,49.947034451179206,52.29402520926669,52.36606983700767,0.0862089218571782,0.1003597164526581,0.110728379804641,50.040966481901705,52.37724113976583,52.45165962027386,50.69145141460467
65536,1024,16,16384,4,4,65536,1.0,80,cuda,bfloat16,28,28,4,128,28672,1879048192,3758096384,58720256,True,True,49.947034451179206,52.29402520926669,52.36606983700767,0.0808968907222151,0.0982403173111379,0.1015989528968929,50.032264087349176,52.37490271683782,52.444444864522666,50.686268726713024
65536,5000,16,16384,4,4,65536,1.0,80,cuda,bfloat16,28,28,4,128,28672,1879048192,3758096384,286720000,True,True,49.947034451179206,52.29402520926669,52.36606983700767,0.0804350711405277,0.0966454623267054,0.101620911154896,50.03397457767278,52.379263925831765,52.44572319323197,50.685998384142295
131072,96,16,16384,8,8,131072,1.0,80,cuda,bfloat16,28,28,4,128,28672,3758096384,7516192768,5505024,True,True,100.06150603294373,102.82450133236124,103.77677005250008,0.1573810586705804,0.1725030597299337,0.1820471067912875,100.20819224882872,102.98472079448402,103.93644366646186,100.5610490887193
131072,512,16,16384,8,8,131072,1.0,80,cuda,bfloat16,28,28,4,128,28672,3758096384,7516192768,29360128,True,True,100.06150603294373,102.82450133236124,103.77677005250008,0.0927880173549056,0.1020050724036991,0.1298255287110804,100.1516345422715,102.9191423789598,103.87106435839088,100.50052628212144
131072,1024,16,16384,8,8,131072,1.0,80,cuda,bfloat16,28,28,4,128,28672,3758096384,7516192768,58720256,True,True,100.06150603294373,102.82450133236124,103.77677005250008,0.0878321006894111,0.0954193295910954,0.1165751856751739,100.15412198845296,102.90923492284492,103.86792369419707,100.49569052353036
131072,5000,16,16384,8,8,131072,1.0,80,cuda,bfloat16,28,28,4,128,28672,3758096384,7516192768,286720000,True,True,100.06150603294373,102.82450133236124,103.77677005250008,0.0879599247127771,0.0962648424319922,0.100887285079807,100.1494824886322,102.91237173369154,103.86678152251989,100.49546637746973
262144,96,16,16384,16,16,262144,1.0,80,cuda,bfloat16,28,28,4,128,28672,7516192768,15032385536,5505024,True,True,199.8801284935325,200.04955019103363,200.51137706032023,0.1571824541315436,0.1701933098956942,0.1956985518336295,200.03234362229705,200.2026071422733,200.66566577879712,200.05337287730072
262144,512,16,16384,16,16,262144,1.0,80,cuda,bfloat16,28,28,4,128,28672,7516192768,15032385536,29360128,True,True,199.8801284935325,200.04955019103363,200.51137706032023,0.100696925073862,0.1090930891223251,0.1176291005685925,199.9836500035599,200.1484645763412,200.6123902020045,200.0019513623556
262144,1024,16,16384,16,16,262144,1.0,80,cuda,bfloat16,28,28,4,128,28672,7516192768,15032385536,58720256,True,True,199.8801284935325,200.04955019103363,200.51137706032023,0.0968804815784096,0.1024917000904679,0.106557582039386,199.97891364619136,200.1513155759312,200.6082956911996,199.99739465711173
262144,5000,16,16384,16,16,262144,1.0,80,cuda,bfloat16,28,28,4,128,28672,7516192768,15032385536,286720000,True,True,199.8801284935325,200.04955019103363,200.51137706032023,0.0961358891800046,0.1024472992867231,0.1084016961976885,199.9801335623488,200.14515040675175,200.60717393876985,199.9968907504808
