task,k,n,p50_total_ms,p95_total_ms,p99_total_ms,p50_query_ms,p50_score_ms,p50_select_ms,p50_transfer_ms,p50_inject_ms
mq_niah_8q_split_1678_to_2345,8,24,7619.934325,7950.5465634,8098.721905640001,81.22500000000001,7521.114,12.535499999999999,0.4440805,4.348313
mq_niah_8q_split_1678_to_2345,16,24,7618.0089665,7949.158429900001,8097.481234410001,81.22500000000001,7521.114,10.8915,0.497317,4.3086775
mq_niah_8q_split_1678_to_2345,24,24,7617.698206000001,7948.5930497,8213.40145429,81.22500000000001,7521.114,10.5095,0.5722435,4.314691
mq_niah_8q_split_1678_to_2345,32,24,7618.3950965,7949.14390655,8096.45468495,81.22500000000001,7521.114,10.420000000000002,0.6223695,4.328138
mq_niah_8q_split_1678_to_2345,48,24,7618.052666,7949.2625582,8096.4110564600005,81.22500000000001,7521.114,10.331,0.786732,4.316872
mq_niah_8q_split_1678_to_2345,64,24,7618.072687,7948.512868,8098.32250274,81.22500000000001,7521.114,10.372,0.8953359999999999,4.335398
mq_niah_8q_split_1678_to_2345,80,24,7617.88975,7948.561442799999,8098.86572918,81.22500000000001,7521.114,10.2585,0.876178,4.3348735
mq_niah_8q_split_1678_to_2345,96,24,7617.9674125,7948.80460845,8098.32919244,81.22500000000001,7521.114,10.3445,0.9257905,4.3680115
mq_niah_8q_split_1678_to_2345,128,24,7618.531940500001,7948.797562149999,8097.578251860001,81.22500000000001,7521.114,10.33,1.116301,4.378614499999999
mq_niah_8q_split_2678_to_1345,8,24,7607.241805,8412.2344179,8700.93716392,81.0795,7509.233,12.522,0.45579000000000003,4.291591
mq_niah_8q_split_2678_to_1345,16,24,7605.5707415,8410.429229049998,8699.99717174,81.0795,7509.233,10.7595,0.5139905,4.3241534999999995
mq_niah_8q_split_2678_to_1345,24,24,7605.130172499999,8410.318578499999,8699.25262477,81.0795,7509.233,10.3735,0.5595859999999999,4.303777
mq_niah_8q_split_2678_to_1345,32,24,7605.151701000001,8410.41216055,8699.72011673,81.0795,7509.233,10.2555,0.6187275000000001,4.3304124999999996
