active_tokens,k,trials,device,dtype,bytes_per_token,restore_bytes,active_bytes,p50_transfer_ms,p95_transfer_ms,p99_transfer_ms,p50_inject_ms,p95_inject_ms,p99_inject_ms,p50_total_ms,p95_total_ms,p99_total_ms
8192,96,30,cuda,bfloat16,57344,5505024,469762048,0.3430924843996763,0.37959337932989,0.40102035040035844,2.189000486396253,2.295275987125933,2.3225557571277022,2.5336300022900105,2.6360671734437346,2.6584690576419234
8192,500,30,cuda,bfloat16,57344,28672000,469762048,0.8185639744624496,0.8294428698718548,0.8318116585724056,2.26400897372514,2.3209607461467385,2.346546924673021,3.0778395012021065,3.1437151366844773,3.1638810434378684
8192,1000,30,cuda,bfloat16,57344,57344000,469762048,1.367158372886479,1.3750831945799291,1.3821914978325367,2.4374579079449177,2.7435341849923125,3.1923827785067265,3.7970099365338683,4.105542169418185,4.571340426336974
8192,2000,30,cuda,bfloat16,57344,114688000,469762048,2.327022491954267,2.3413486662320793,2.3512245807796717,2.679164055734873,2.7142965234816074,2.841511706355959,4.9798659747466445,5.0453698029741645,5.190399452112615
8192,5000,30,cuda,bfloat16,57344,286720000,469762048,5.339142982847989,5.34991662716493,5.357697946019471,3.137266030535102,3.207081160508096,3.6701570008881395,8.47667339257896,8.551307395100594,9.014313337393105
32768,96,30,cuda,bfloat16,57344,5505024,1879048192,0.37163146771490574,0.4393043927848338,0.4872595216147602,6.4079794101417065,6.4504089881666005,6.487635385710746,6.768541061319411,6.864367914386094,6.881001105066389
32768,500,30,cuda,bfloat16,57344,28672000,1879048192,0.8998995181173086,0.917191558983177,0.922036471311003,6.454852060414851,6.493133993353695,6.507537900470197,7.351349922828376,7.40059973904863,7.4172693863511086
32768,1000,30,cuda,bfloat16,57344,57344000,1879048192,1.416311482898891,1.4460481121204793,1.4533190988004208,6.565668969415128,6.637415383011103,6.703197271563113,7.987777120433748,8.075618057046086,8.12576566124335
32768,2000,30,cuda,bfloat16,57344,114688000,1879048192,2.269847085699439,2.2842135513201356,2.287260419689119,6.833078456111252,6.943886110093445,7.00593440560624,9.106756886467338,9.213679877575487,9.270460025873035
32768,5000,30,cuda,bfloat16,57344,286720000,1879048192,5.374220432713628,5.384523654356599,5.38710173452273,7.440350484102964,7.531667489092797,7.56779104238376,12.817062088288367,12.913418258540332,12.930720457807183
100000,96,30,cuda,bfloat16,57344,5505024,5734400000,0.40981045458465815,0.43828481575474143,0.4827734269201756,18.466343521140516,18.49038213258609,18.515470321290195,18.883668002672493,18.92811137950048,18.961665481328964
100000,500,30,cuda,bfloat16,57344,28672000,5734400000,0.9490374941378832,0.9786408627405763,0.9814020153135061,18.566758022643626,18.58360789483413,18.620721930637956,19.50763608328998,19.54933697124943,19.586740972008556
100000,1000,30,cuda,bfloat16,57344,57344000,5734400000,1.3159544905647635,1.3405953883193433,1.3421802106313407,18.630363512784243,19.010354671627283,19.269596037920564,19.95487860403955,20.302140503190458,20.48335594823584
100000,2000,30,cuda,bfloat16,57344,114688000,5734400000,2.292251097969711,2.3375793360173702,2.3498323746025562,18.852155888453126,19.27163435611874,20.032062847167253,21.145475562661886,21.52539329836145,22.275958531536162
100000,5000,30,cuda,bfloat16,57344,286720000,5734400000,5.354876513592899,5.366195633541793,5.368657996878028,19.41895147319883,19.447925873100758,19.458599293138832,24.7774530434981,24.804901133757085,24.813039826694876
